('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         718700 function calls (697884 primitive calls) in 2.707 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    78666    0.009    0.000    0.009    0.000 {method 'append' of 'list' objects}
66275/60753    0.007    0.000    0.008    0.000 {built-in method builtins.len}
    52546    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
    25142    0.015    0.000    0.015    0.000 {method 'match' of 're.Pattern' objects}
    24748    0.006    0.000    0.008    0.000 _parser.py:167(__getitem__)
    19396    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    18602    0.003    0.000    0.003    0.000 _parser.py:239(__next)
    15030    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    14554    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    14440    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
    14316    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    13068    0.001    0.000    0.001    0.000 {built-in method builtins.min}
    11349    0.003    0.000    0.005    0.000 _parser.py:260(get)
    10992    0.002    0.000    0.003    0.000 _parser.py:163(__len__)
    10783    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
    10131    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     9793    0.002    0.000    0.003    0.000 _parser.py:255(match)
     8996    0.001    0.000    0.001    0.000 typing.py:2371(cast)
     8454    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     8197    0.001    0.000    0.001    0.000 element.py:2763(descendants)
     8127    0.003    0.000    0.010    0.000 filter.py:717(match)
     8103    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
     8087    0.005    0.000    0.005    0.000 element.py:376(setup)
     7977    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     7256    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6843    0.001    0.000    0.001    0.000 element.py:2219(__bool__)
     6477    0.001    0.000    0.002    0.000 _parser.py:175(append)
6294/6275    0.002    0.000    0.006    0.000 typing.py:426(inner)
     6107    0.001    0.000    0.005    0.000 __init__.py:122(unescape)
     6068    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     5646    0.006    0.000    0.024    0.000 __init__.py:826(endData)
     5523    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     5381    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
     4984    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
 4877/155    0.013    0.000    0.028    0.000 _compiler.py:37(_compile)
 4779/290    0.004    0.000    0.006    0.000 _parser.py:177(getwidth)
 4414/161    0.018    0.000    0.052    0.000 _parser.py:511(_parse)
     4139    0.002    0.000    0.006    0.000 filter.py:538(matches_tag)
     3946    0.000    0.000    0.001    0.000 {built-in method builtins.max}
     3817    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3347    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
     3166    0.001    0.000    0.001    0.000 _parser.py:292(tell)
3131/3127    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x00007FFD8CCB28A0}
     2953    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     2804    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     2713    0.001    0.000    0.001    0.000 __init__.py:1065(handle_data)
     2705    0.000    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     2705    0.006    0.000    0.020    0.000 element.py:1618(__init__)
     2705    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     2705    0.003    0.000    0.004    0.000 __init__.py:809(pushTag)
     2705    0.003    0.000    0.024    0.000 _htmlparser.py:204(handle_endtag)
     2704    0.008    0.000    0.044    0.000 __init__.py:987(handle_starttag)
     2704    0.002    0.000    0.003    0.000 __init__.py:786(popTag)
     2704    0.007    0.000    0.011    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     2704    0.019    0.000    0.098    0.000 parser.py:301(parse_starttag)
     2704    0.002    0.000    0.007    0.000 parser.py:345(check_for_whole_start_tag)
     2704    0.006    0.000    0.052    0.000 _htmlparser.py:142(handle_starttag)
     2704    0.001    0.000    0.001    0.000 element.py:1812(is_empty_element)
