('Gross Profit', '17,962,502.00', '17,962,502.00', '14,007,929.00', '12,447,265.00', '12,365,161.00')
         817663 function calls (793369 primitive calls) in 2.355 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      295    1.349    0.005    1.349    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.230    0.230    0.230    0.230 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.161    0.161    0.161    0.161 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.120    0.120    0.120    0.120 {built-in method _socket.getaddrinfo}
        1    0.040    0.040    0.040    0.040 {method 'connect' of '_socket.socket' objects}
 4772/202    0.023    0.000    0.063    0.000 _parser.py:511(_parse)
     2704    0.019    0.000    0.102    0.000 parser.py:301(parse_starttag)
    25161    0.016    0.000    0.016    0.000 {method 'match' of 're.Pattern' objects}
 5541/194    0.015    0.000    0.034    0.000 _compiler.py:37(_compile)
      170    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
        2    0.014    0.007    0.166    0.083 parser.py:134(goahead)
      931    0.010    0.000    0.010    0.000 {built-in method nt.stat}
     2455    0.010    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:101(_path_join)
    89401    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
     2704    0.009    0.000    0.046    0.000 __init__.py:987(handle_starttag)
77885/71568    0.008    0.000    0.009    0.000 {built-in method builtins.len}
     2704    0.008    0.000    0.011    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     10/8    0.008    0.001    0.009    0.001 {built-in method _imp.create_dynamic}
      228    0.007    0.000    0.463    0.002 {method 'read' of '_io.BufferedReader' objects}
      170    0.007    0.000    0.007    0.000 {built-in method _io.open_code}
    29666    0.007    0.000    0.010    0.000 _parser.py:167(__getitem__)
     2704    0.006    0.000    0.054    0.000 _htmlparser.py:142(handle_starttag)
60207/60203    0.006    0.000    0.007    0.000 {built-in method builtins.isinstance}
     5646    0.006    0.000    0.025    0.000 __init__.py:826(endData)
  540/535    0.006    0.000    0.048    0.000 {built-in method builtins.__build_class__}
      908    0.006    0.000    0.008    0.000 _compiler.py:241(_optimize_charset)
     2705    0.005    0.000    0.020    0.000 element.py:1618(__init__)
 1280/194    0.005    0.000    0.064    0.000 _parser.py:451(_parse_sub)
     2556    0.005    0.000    0.033    0.000 parser.py:379(parse_endtag)
       38    0.005    0.000    0.005    0.000 {method 'decompress' of 'zlib.Decompress' objects}
 5494/381    0.005    0.000    0.006    0.000 _parser.py:177(getwidth)
     8087    0.005    0.000    0.005    0.000 element.py:376(setup)
     8107    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
        1    0.005    0.005    0.041    0.041 dammit.py:128(_populate_class_variables)
    14316    0.004    0.000    0.004    0.000 {method 'group' of 're.Match' objects}
    16845    0.004    0.000    0.007    0.000 _parser.py:260(get)
    25704    0.004    0.000    0.004    0.000 _parser.py:239(__next)
     2703    0.004    0.000    0.007    0.000 __init__.py:950(_popToTag)
    10783    0.004    0.000    0.006    0.000 _markupbase.py:44(updatepos)
3326/3300    0.004    0.000    0.005    0.000 {built-in method __new__ of type object at 0x00007FFD8CCB28A0}
     2691    0.003    0.000    0.006    0.000 element.py:1291(__new__)
    20088    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     2691    0.003    0.000    0.008    0.000 __init__.py:867(object_was_parsed)
     2705    0.003    0.000    0.025    0.000 _htmlparser.py:204(handle_endtag)
       65    0.003    0.000    0.016    0.000 filter.py:129(filter)
     2705    0.003    0.000    0.004    0.000 __init__.py:809(pushTag)
      493    0.003    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1624(find_spec)
      170    0.003    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
     8127    0.003    0.000    0.010    0.000 filter.py:717(match)
6352/6330    0.003    0.000    0.007    0.000 typing.py:426(inner)
     2691    0.003    0.000    0.004    0.000 __init__.py:732(string_container)
    13290    0.002    0.000    0.004    0.000 _parser.py:255(match)
    17926    0.002    0.000    0.002    0.000 {method 'startswith' of 'str' objects}
     2704    0.002    0.000    0.003    0.000 __init__.py:786(popTag)
    15058    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
       10    0.002    0.000    0.002    0.000 {built-in method _imp.exec_dynamic}
    12794    0.002    0.000    0.003    0.000 _parser.py:163(__len__)
    15030    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
     7977    0.002    0.000    0.002    0.000 {method 'count' of 'str' objects}
     2703    0.002    0.000    0.021    0.000 __init__.py:1053(handle_endtag)
     2704    0.002    0.000    0.007    0.000 parser.py:345(check_for_whole_start_tag)
      472    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
     4139    0.002    0.000    0.006    0.000 filter.py:538(matches_tag)
     1954    0.002    0.000    0.003    0.000 __init__.py:91(_replace_charref)
    14154    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
     2165    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     1434    0.002    0.000    0.002    0.000 __init__.py:906(_linkage_fixer)
     7488    0.002    0.000    0.003    0.000 _parser.py:175(append)
       22    0.002    0.000    0.002    0.000 {built-in method nt.listdir}
      170    0.002    0.000    0.002    0.000 {method '__exit__' of '_io._IOBase' objects}
     8462    0.001    0.000    0.006    0.000 {built-in method builtins.next}
      308    0.001    0.000    0.110    0.000 __init__.py:330(_compile)
     9566    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
6385/6317    0.001    0.000    0.002    0.000 {method 'join' of 'str' objects}
      727    0.001    0.000    0.004    0.000 {method 'sub' of 're.Pattern' objects}
      125    0.001    0.000    0.003    0.000 _compiler.py:470(_get_charset_prefix)
